Level,Video
1,https://www.youtube.com/watch?v=hhK8DwmSUuA
2,https://www.youtube.com/watch?v=cAvFOMzE0oI
3,https://www.youtube.com/watch?v=zDkMrK6uyyw
4,https://www.youtube.com/watch?v=CSSOBnCf18k
5,https://www.youtube.com/watch?v=QX89Lxjd6hk
6,https://www.youtube.com/watch?v=7awHl5PuKZU
7,https://www.youtube.com/watch?v=wYrwlY9Cmy8
8,https://www.youtube.com/watch?v=9aSq7sjLkpo
9,https://www.youtube.com/watch?v=f5TCNQjFJjQ
10,https://www.youtube.com/watch?v=k-9dDjVG5FE
11,https://www.youtube.com/watch?v=GzlZS_drjV8
12,https://www.youtube.com/watch?v=R_6YZAh5VmU
13,https://www.youtube.com/watch?v=afdOLbea2cU
14,https://www.youtube.com/watch?v=PHhzD_yO52M
15,https://www.youtube.com/watch?v=BZjTtrcW8I0
16,https://www.youtube.com/watch?v=7et66ZXdHwc
17,https://www.youtube.com/watch?v=98HIg-sOC24
18,https://www.youtube.com/watch?v=3vKSV_PouG4
19,https://www.youtube.com/watch?v=C6mG8LIDM9o
20,https://www.youtube.com/watch?v=67seE2mPnqc
21,https://www.youtube.com/watch?v=SomM0wzVoZE
22,https://www.youtube.com/watch?v=i4UfIszPxPc
23,https://www.youtube.com/watch?v=iW5YMNtKu-8
24,https://www.youtube.com/watch?v=fnTtj5hVd-0
25,https://www.youtube.com/watch?v=g-wh47IHF-I
26,https://www.youtube.com/watch?v=_OBO7bkv7Fo
27,https://www.youtube.com/watch?v=CgMGKoIaCG0
28,https://www.youtube.com/watch?v=9bZPoeIEptc
29,https://www.youtube.com/watch?v=XAKbZM-4Ov8
30,https://www.youtube.com/watch?v=JU6ZRBqiG28
31,https://www.youtube.com/watch?v=klNs0Swnwkg
32,https://www.youtube.com/watch?v=0HTY2ZzJim4
33,https://www.youtube.com/watch?v=0q3Zipoy6To
34,https://www.youtube.com/watch?v=ay6G_B7lXL4
35,https://www.youtube.com/watch?v=7tG4rHRPVOY
36,https://www.youtube.com/watch?v=TS1gJg5_-6U
37,https://www.youtube.com/watch?v=cJba-5STMOs
38,https://www.youtube.com/watch?v=U0CupZVQLbc
39,https://www.youtube.com/watch?v=EIcujcn5L2Q
40,https://www.youtube.com/watch?v=juQv5t_LUNU
41,https://www.youtube.com/watch?v=3Sa83SCyr-k
42,https://www.youtube.com/watch?v=xlR4J00SpZo
43,https://www.youtube.com/watch?v=DqTCzQWYc1A
44,https://www.youtube.com/watch?v=aDEkHxKHVqc
45,https://www.youtube.com/watch?v=wC0B-uBcCDg
46,https://www.youtube.com/watch?v=YWOk_XOGHQU
47,https://www.youtube.com/watch?v=ilUxHrtK90Q
48,https://www.youtube.com/watch?v=98D2qdKuQn8
49,https://www.youtube.com/watch?v=xz9UXUJGIT0
50,https://www.youtube.com/watch?v=0YeOYKD_I3M
51,https://www.youtube.com/watch?v=-50jTk9qVnA
52,https://www.youtube.com/watch?v=tCkvqw0yi4A
53,https://www.youtube.com/watch?v=prnURd9zqIY
54,https://www.youtube.com/watch?v=R2Axv4957wM
55,https://www.youtube.com/watch?v=VpmDh_bC_Ps
56,https://www.youtube.com/watch?v=zJWDC6fRaas
57,https://www.youtube.com/watch?v=ELV3htmn3dc
58,https://www.youtube.com/watch?v=yAEdPLb5_8o
59,https://www.youtube.com/watch?v=WdyNBiM_K9s
60,https://www.youtube.com/watch?v=a6XE9l8dG7g
61,https://www.youtube.com/watch?v=vY76_bOMqPk
62,https://www.youtube.com/watch?v=ztXmvLduogM
63,https://www.youtube.com/watch?v=KGVAs_wHsqY
64,https://www.youtube.com/watch?v=wAjZWp38w-U
65,https://www.youtube.com/watch?v=soQHMW8DR90
66,https://www.youtube.com/watch?v=FvGKrG6DfK8
67,https://www.youtube.com/watch?v=WRUJyGY2FUU
68,https://www.youtube.com/watch?v=SCZUVis9aQI
69,https://www.youtube.com/watch?v=nFTRt7vwokQ
70,https://www.youtube.com/watch?v=2ZLydlBhINk
71,https://www.youtube.com/watch?v=mupZez7tgJU
72,https://www.youtube.com/watch?v=So_LZf6KQnA
73,https://www.youtube.com/watch?v=OKr0xp6seH8
74,https://www.youtube.com/watch?v=KxNqpfeFR90
75,https://www.youtube.com/watch?v=f7eRPrShnyE
76,https://www.youtube.com/watch?v=FX3nuySY0HU
77,https://www.youtube.com/watch?v=bkD_vBPtnek
78,https://www.youtube.com/watch?v=z2x6-r83wug
79,https://www.youtube.com/watch?v=nwtllF8KTug
80,https://www.youtube.com/watch?v=dV5DVZgxHHk
81,https://www.youtube.com/watch?v=z73fRf6amI4
82,https://www.youtube.com/watch?v=Gd-xWTbdvow
