Country,Level,Answer,Longest
France,1,"WE, NEW",NEW
France,2,"OR, ROW",ROW
France,3,"UP, CUP",CUP
France,4,"IF, IT, FIT",FIT
France,5,"NET, TEN",NET
United Kingdom,6,"AT, ACT, CAT",ACT
United Kingdom,7,"TO, OPT, POT, TOP",OPT
United Kingdom,8,"ARE, EAR, ERA",ARE
United Kingdom,9,"AT, ART, RAT, TAR",ART
United Kingdom,10,"NO, ON, NOW, OWN, WON",NOW
Italy,11,"AND, HAD, HAND",HAND
Italy,12,"HOW, SOW, WHO, SHOW",SHOW
Italy,13,"PAR, PAY, RAP, RAY, PRAY",PRAY
Italy,14,"BET, BIT, TIE, BITE",BITE
Italy,15,"BOW, LOB, LOW, OWL, BLOW, BOWL",BLOW
Italy,16,"HIT, TIN, HINT, THIN",HINT
Italy,17,"GOD, LOG, OLD, GOLD",GOLD
Italy,18,"MAN, MEN, MANE, MEAN, NAME",MANE
Italy,19,"BOW, ROB, ROW, BROW",BROW
Italy,20,"ART, PAR, PAT, RAP, RAT, TAP, TAR, PART, TRAP",PART
Russia,21,"FAT, SAT, FAST",FAST
Russia,22,"ATE, EAT, TEA, TAKE",TAKE
Russia,23,"CON, EON, ONE, CONE, ONCE",CONE
Russia,24,"BID, RIB, RID, BIRD",BIRD
Russia,25,"MET, TIE, EMIT, ITEM, TIME",EMIT
Russia,26,"GIN, RIG, GRIN, RING",GRIN
Russia,27,"RAN, RAW, WAR, WARN",WARN
Russia,28,"DON, NOD, NOW, OWN, WON, DOWN",DOWN
Russia,29,"DIM, LID, MID, MILD",MILD
Russia,30,"ACE, ARC, ARE, CAR, EAR, ERA, ACRE, CARE, RACE",ACRE
Australia,31,"SEE, SET, SEW, WET, WEST, SWEET",SWEET
Australia,32,"OLD, COLD, SOLD, SCOLD",SCOLD
Australia,33,"BUD, BUT, DOT, DUB, DUO, OUT, TUB, BOUT, DOUBT",DOUBT
Australia,34,"AID, AIR, AND, RAN, RID, RAID, RAIN, DRAIN",DRAIN
Australia,35,"OPT, POT, PRO, ROT, TOO, TOP, POOR, PORT, ROOT, TROOP",TROOP
Australia,36,"HOT, HUT, OUT, HOST, SHOT, SHUT, SHOUT, SOUTH",SHOUT
Australia,37,"FOE, FOR, ORE, CORE, FORE, FORCE",FORCE
Australia,38,"HOP, HOT, OPT, POT, TOO, TOP, PHOTO",PHOTO
Australia,39,"APT, PAD, PAT, TAP, DATA, ADAPT",ADAPT
Australia,40,"EVE, NET, TEN, EVEN, TEEN, VENT, EVENT",EVENT
Australia,41,"EON, MEN, ONE, LONE, MOLE, OMEN, LEMON, MELON",LEMON
Australia,42,"COW, ROD, ROW, CORD, CROW, WORD, CROWD",CROWD
Australia,43,"AID, AIR, DAY, DRY, RAY, RID, RAID, YARD, DAIRY, DIARY",DAIRY
Australia,44,"HOT, NOT, TON, MOTH, MONTH",MONTH
Australia,45,"HIP, NIP, PIN, CHIN, CHIP, INCH, PINCH",PINCH
Australia,46,"INK, KIN, KIT, SIN, SIT, TIN, KNIT, SINK, SKIN, STINK",STINK
Australia,47,"AGE, ARE, EAR, ERA, RAG, GEAR, RAGE, AGREE, EAGER",AGREE
Australia,48,"ATE, EAT, SAT, SEA, SET, TEA, EAST, SEAT, TEST, STATE, TASTE",STATE
Australia,49,"FAT, SAT, FAST, STAFF",STAFF
Australia,50,"HER, HIT, THE, TIE, HEIR, HIRE, RITE, TIER, TIRE, THEIR",THEIR
India,51,"DIM, HID, HIM, MID, MUD, HUMID",HUMID
India,52,"CUE, SUE, USE, CURE, SURE, USER, CURSE",CURSE
India,53,"RED, RID, DIRE, DIVE, RIDE, DRIVE",DRIVE
India,54,"HOT, NOR, NOT, ROT, TON, HORN, TORN, NORTH, THORN",NORTH
India,55,"ARC, ARM, CAR, HAM, MAR, RAM, ARCH, HARM, CHARM, MARCH",CHARM
India,56,"LIP, LIT, PIT, PUT, TIP, TULIP",TULIP
India,57,"HER, THE, HERE, TREE, THERE, THREE",THERE
India,58,"EON, HEN, HOP, ONE, PEN, HONE, HOPE, OPEN, PHONE",PHONE
India,59,"HEW, HIT, THE, TIE, WET, WIT, WITH, WHITE",WHITE
India,60,"PER, SUE, USE, PURE, SPUR, SURE, USER, PURSE, SUPER",PURSE
India,61,"ORE, OWE, ROW, SEW, SOW, WOE, ROSE, SORE, WORE, SWORE, WORSE",SWORE
India,62,"SAY, SEA, YES, EASY, ESSAY",ESSAY
India,63,"ALL, ASH, HAS, HALL, SHALL",SHALL
India,64,"FOR, NOR, NOT, ROT, TON, FONT, FORT, TORN, FRONT",FRONT
India,65,"COT, CUT, OUT, COST, SCOUT",SCOUT
India,66,"ACE, CAN, CON, EON, ONE, CANE, CONE, ONCE, CANOE, OCEAN",CANOE
India,67,"DUO, OLD, COLD, LOUD, CLOUD, COULD",CLOUD
India,68,"ARM, MAR, MAY, RAM, RAY, YAM, ARMY, MARRY",MARRY
India,69,"NOR, NOW, OWN, ROW, WON, GOWN, GROW, WORN, WRONG",WRONG
India,70,"ARE, EAR, ERA, LAY, RAY, REAL, RELY, YEAR, EARLY, LAYER, RELAY",EARLY
Egypt,71,"DON, DUN, DUO, FUN, NOD, FOND, FUND, UNDO, FOUND",FOUND
Egypt,72,"MET, PET, YET, TYPE, EMPTY",EMPTY
Egypt,73,"BAT, LAB, SAT, TAB, LAST, SALT, SLAB, STAB, BLAST",BLAST
Egypt,74,"NET, SEE, SET, TEN, NEST, SEEN, SENT, TEEN, TENSE",TENSE
Egypt,75,"AIR, ART, LIT, RAT, TAR, LIAR, RAIL, TAIL, TRAIL, TRIAL",TRAIL
Egypt,76,"SEE, DEEP, SEED, SEEP, SPED, SPEED",SPEED
Egypt,77,"BEG, BIG, BIN, GIN, BEGIN, BEING",BEGIN
Egypt,78,"ACE, ACT, ATE, CAT, EAT, TEA, DATE, CADET",CADET
Egypt,79,"ART, OAT, RAT, ROT, SAT, SOAR, SORT, STAR, ROAST",ROAST
Egypt,80,"AID, SAD, SEA, DAIS, IDEA, SAID, SIDE, ASIDE",ASIDE
Egypt,81,"GATE, GEAR, RAGE, RATE, TEAR, GRATE, GREAT",GRATE
Egypt,82,"FIT, SIR, SIT, FIST, RIFT, SIFT, STIR, FIRST",FIRST
Egypt,83,"HER, ORE, SHE, HERO, HOSE, ROSE, SHOE, SORE, HORSE, SHORE",HORSE
Egypt,84,"AND, ANT, SAD, SAT, TAN, SAND, STAND",STAND
Egypt,85,"DON, DUO, NOD, POD, PUN, POND, UNDO, UPON, POUND",POUND
Egypt,86,"OUR, OUT, ROT, TOE, ROTE, ROUT, TORE, TOUR, TRUE, OUTER, ROUTE",OUTER
Egypt,87,"DEN, END, SEE, NEED, SEED, SEEN, SEND, DENSE",DENSE
Egypt,88,"EON, FOE, NET, NOT, ONE, TEN, TOE, TON, FONT, NOTE, TONE, OFTEN",OFTEN
Egypt,89,"OUR, PRO, RUG, POUR, GROUP",GROUP
Egypt,90,"LIP, LIT, LOT, OIL, OPT, PIT, POT, TIP, TOP, PLOT, TOIL, PILOT",PILOT
United States,91,"FIG, FIT, HIT, GIFT, FIGHT",FIGHT
United States,92,"ARM, JAM, JAR, MAR, OAR, RAM, ROAM, MAJOR",MAJOR
United States,93,"ICE, IRE, RIM, MICE, MIRE, RICE, RIME, CRIME",CRIME
United States,94,"RAW, WAD, WAR, DRAW, WARD, AWARD",AWARD
United States,95,"ACHE, ACRE, ARCH, CARE, CHAR, EACH, HARE, HEAR, RACE, REACH",REACH
United States,96,"ADO, DAY, DOT, OAT, TOY, TOAD, TODAY",TODAY
United States,97,"EEL, FEE, LET, FEEL, FEET, FELT, FLEE, LEFT, FLEET",FLEET
United States,98,"ASK, SEA, SAKE, SANE, SANK, SNAKE, SNEAK",SNAKE
United States,99,"OPT, POT, ROT, TOP, PORT, POST, SORT, SPOT, STOP, SPORT",SPORT
United States,100,"AGE, LEG, LANE, LEAN, ANGEL, ANGLE",ANGEL
United States,101,"ACE, APE, CAP, PEA, ACHE, CAPE, CHAP, EACH, HEAP, PACE, CHEAP, PEACH",CHEAP
United States,102,"ROD, ROW, SOW, WORD, SWORD",SWORD
United States,103,"ACT, CAT, HAT, CHAT, CATCH",CATCH
United States,104,"AND, NAG, RAG, RAN, DRAG, RANG, GRAND",GRAND
United States,105,"ACE, ALE, SAC, SEA, CASE, LACE, SALE, SEAL, SCALE",SCALE
United States,106,"APE, ARE, EAR, ERA, PAR, PEA, PER, RAP, PARE, PEAR, REAP, PAPER",PAPER
United States,107,"FARE, FATE, FEAR, FEAT, FRET, RAFT, RATE, TEAR, AFTER",AFTER
United States,108,"ARC, CAR, LAW, RAW, WAR, CLAW, CRAWL",CRAWL
United States,109,"HUE, SHE, SUE, USE, HOSE, SHOE, HOUSE",HOUSE
United States,110,"AND, BAD, BAN, BAR, DAB, NAB, RAN, BAND, BARN, BRAN, BRAND",BRAND
Greece,111,"ACE, APE, CAP, PEA, CAPE, PACE, PEACE",PEACE
Greece,112,"EVE, SEE, EVEN, SEEN, SEVEN",SEVEN
Greece,113,"ALL, SAT, LAST, SALT, TALL, STALL",STALL
Greece,114,"AGE, AIM, GEM, GAME, MAGE, IMAGE",IMAGE
Greece,115,"APE, ASH, HAS, PEA, SEA, SHE, SPA, HEAP, PHASE, SHAPE",PHASE
Greece,116,"ACRE, CARE, EARL, LACE, RACE, REAL, CLEAR",CLEAR
Greece,117,"ACT, CAT, HAT, CHAT, HALT, LATCH",LATCH
Greece,118,"LOW, OWE, OWL, VOW, WOE, LOVE, VOWEL",VOWEL
Greece,119,"ANY, RAG, RAN, RAY, GRAY, RANG, YARN, ANGRY",ANGRY
Greece,120,"LIE, OIL, VIE, EVIL, LIVE, LOVE, VEIL, VILE, OLIVE",OLIVE
Greece,121,"EARL, EARN, ELAN, LANE, LEAN, NEAR, REAL, LEARN",LEARN
Greece,122,"ACT, CAT, HAT, TAW, CHAT, THAW, WHAT, WATCH",WATCH
Greece,123,"GOT, GUT, HOG, HOT, HUG, HUT, OUT, TUG, THUG, OUGHT, TOUGH",OUGHT
Greece,124,"BUS, BUT, RUB, TUB, RUST, BURST",BURST
Greece,125,"HOT, ROT, HOST, SHOT, SORT, SHORT",SHORT
Greece,126,"HOW, OWE, SEW, SHE, SOW, WHO, WOE, HOSE, SHOE, SHOW, WHOSE",WHOSE
Greece,127,"SIR, SIT, WIT, STIR, WRIT, WRIST",WRIST
Greece,128,"BOW, LOB, LOW, OWL, WEB, WOE, BLEW, BLOW, BOLE, BOWL, LOBE, BELOW, ELBOW",BELOW
Greece,129,"FOR, PRO, POOR, ROOF, PROOF",PROOF
Greece,130,"ION, NIP, NOT, OPT, PIN, PIT, POT, TIN, TIP, TON, TOP, INTO, POINT",POINT
Brazil,131,"OLD, FOLD, FOOD, FOOL, FLOOD",FLOOD
Brazil,132,"FOE, FOR, OFF, ORE, FORE, OFFER",OFFER
Brazil,133,"GIN, HIT, TIN, HINT, THIN, NIGHT, THING",NIGHT
Brazil,134,"APE, LAP, PAL, PEA, LEAP, PALE, PEAL, PLEA, APPLE",APPLE
Brazil,135,"BED, BET, BUD, BUT, DUB, DUE, TUB, DEBT, DUET, TUBE, DEBUT",DEBUT
Brazil,136,"HOT, HOW, ROT, ROW, TWO, WHO, THROW, WORTH",THROW
Brazil,137,"RATE, TEAR, WARE, WEAR, WATER",WATER
Brazil,138,"FOR, FUR, OUR, RUM, FORM, FOUR, FROM, FORUM",FORUM
Brazil,139,"ALE, DAM, LED, DAME, DEAL, LAME, LEAD, MADE, MALE, MEAL, MELD, MEDAL",MEDAL
Brazil,140,"HARE, HATE, HEAR, HEAT, RATE, TEAR, EARTH, HEART",EARTH
Brazil,141,"ARE, ASH, EAR, ERA, HAS, HER, SEA, SHE, HARE, HEAR, RASH, SEAR, SHARE, SHEAR",SHARE
Brazil,142,"GIN, SIN, WIG, WIN, SIGN, SING, WING, SWING",SWING
Brazil,143,"CAB, LAB, BACK, LACK, BLACK",BLACK
Brazil,144,"BUS, HUB, RUB, BUSH, RUSH, BRUSH, SHRUB",BRUSH
Brazil,145,"NET, NUT, TEN, TIE, TIN, TUNE, UNIT, UNITE, UNTIE",UNITE
Brazil,146,"ORE, OWE, ROT, ROW, TOE, TWO, WET, TORE, WORE, TOWER, WROTE",TOWER
Brazil,147,"SEE, SET, REST, SEER, TREE, RESET, STEER",RESET
Brazil,148,"ALL, LAW, LOW, OWL, WALL, ALLOW",ALLOW
Brazil,149,"BAKE, BARE, BARK, BEAK, BEAR, RAKE, BRAKE, BREAK",BRAKE
