Level,Answers,Longest
3935,"HOT, ROT, SHY, SOY, THY, TOY, TRY, HOST, ROSY, SHOT, SORT, HORSY, SHORT, STORY, SHORTY",SHORTY
3936,"DINE, EDGE, NEED, WEED, WEND, WIDE, WIND, WINE, WING, DEIGN, GENIE, WEDGE, WIDEN, WINGED, WEEDING",WEEDING
3937,"BAT, LAB, SAT, TAB, ALAS, LAST, SALT, SLAB, SLAT, STAB, ATLAS, BALSA, BASAL, BLAST, BASALT",BASALT
3938,"ELM, LED, ODE, OLD, DOLE, DOME, DOOM, LODE, LOOM, MODE, MOLD, MOLE, MOOD, MODEL, LOOMED",LOOMED
3939,"CODE, COOP, COPE, COPS, DOES, DOSE, POSE, SPED, COPED, COPSE, POSED, SCOOP, SCOPE, COOPED, SCOOPED",SCOOPED
3940,"ACHE, ACNE, CANE, CHIC, CHIN, EACH, INCH, NICE, CACHE, CHAIN, CHINE, CINCH, NICHE, CHANCE, CHICANE",CHICANE
3941,"ELM, GEM, GIN, LEG, LIE, MEN, NIL, GLEN, LIEN, LIME, LINE, MILE, MINE, INGLE, MINGLE",MINGLE
3942,"EEL, ELM, LEE, LET, LOT, MET, TEE, TOE, MEET, MELT, MOLE, MOTE, TEEM, TOME, OMELET",OMELET
3943,"GRIN, GRIP, IRON, PING, POUR, PRIG, RING, RUIN, RUNG, UPON, GROUP, PRONG, PORING, ROPING, POURING",POURING
3944,"ABLE, BABE, BALE, BALL, BARB, BARE, BEAR, BELL, EARL, REAL, BABEL, BLARE, LABEL, BARBEL, BARBELL",BARBELL
3945,"DELL, DUEL, DULL, FEED, FEEL, FELL, FEUD, FLED, FLEE, FLUE, FUEL, FULL, ELUDE, FELLED, FUELLED",FUELLED
3946,"HECK, HEEL, HERE, KEEL, LEEK, LEER, REEK, REEL, CHEEK, CHEER, CLERK, CREEK, CREEL, LEECH, HECKLER",HECKLER
3947,"AXLE, DATE, DEAL, LADE, LATE, LEAD, TALE, TEAL, DEALT, DELTA, EXALT, LATEX, TAXED, ELATED, EXALTED",EXALTED
3948,"FIN, FIT, ICE, NET, NIT, TEN, TIC, TIE, TIN, CENT, CITE, FINE, NICE, FEINT, INFECT",INFECT
3949,"MET, RED, TEE, DEEM, DEER, MEET, MERE, REED, TEEM, TERM, TREE, DETER, METED, METER, TERMED",TERMED
3950,"COT, LET, LOT, ORE, ROT, TOE, CLOT, COLT, CORE, COTE, LORE, ROLE, ROTE, TORE, COLTER",COLTER
3951,"CRUD, CURD, CURE, DUNE, HERD, NUDE, REND, RUDE, RUNE, CHURN, CRUDE, CURED, UNDER, DRENCH, CHURNED",CHURNED
3952,"DENT, DONE, DOTE, KNOT, NODE, NOTE, TEND, TENT, TOED, TONE, TOTE, NOTED, TOKEN, TONED, KNOTTED",KNOTTED
3953,"AGE, ALE, AWE, EGG, GAG, LAG, LAW, LEG, WAG, GAGE, GALE, WAGE, WALE, WEAL, WAGGLE",WAGGLE
3954,"KERN, LENS, LONE, LORE, LOSE, NOSE, ONES, ROLE, ROSE, SOLE, SORE, KRONE, LOSER, SNORE, SNORKEL",SNORKEL
3955,"NINE, SIGN, SINE, SING, SNUG, SUNG, ENNUI, GENUS, GUISE, SINGE, SUING, USING, ENSIGN, GENIUS, ENSUING",ENSUING
3956,"DRY, DYE, EYE, RED, RYE, DEER, DYER, EDGE, EDGY, EYED, GREY, REED, GREED, REEDY, GREEDY",GREEDY
3957,"FAIL, FALL, FANG, FILL, FLAG, GAIN, GALL, GILL, LAIN, NAIL, ALIGN, FINAL, FLAIL, FLING, FALLING",FALLING
3958,"APE, APT, ATE, EAT, PAD, PAT, PEA, PET, TAP, TAT, TEA, DATE, TAPE, ADEPT, PATTED",PATTED
3959,"DIP, PER, PIE, RED, RID, RIP, DIRE, DRIP, PIER, RIDE, RIPE, PRIDE, PRIED, PRIZE, PRIZED",PRIZED
3960,"ELSE, LEER, PEEL, PEER, REEL, SEEP, SEER, SELL, REPEL, SLEEP, SPELL, SPREE, RESELL, SELLER, SPELLER",SPELLER
3961,"ARC, BAR, BOA, CAB, CAR, COB, HOB, ROB, ARCH, BOAR, CHAR, CRAB, ABHOR, COBRA, BROACH",BROACH
3962,"BORN, BOUT, BURN, ROUT, RUNT, TORN, TOUR, TURN, UNTO, BOURN, BRUNT, BURNT, TURBO, OUTRUN, BURNOUT",BURNOUT
3963,"ABLY, BAIL, BALD, DAUB, DIAL, DUAL, DULY, IDLY, LADY, LAID, LAUD, BADLY, BUILD, DAILY, AUDIBLY",AUDIBLY
3964,"GIN, INK, KIN, NAG, WAG, WIG, WIN, AKIN, GAIN, GNAW, KING, WAIN, WING, WINK, WAKING",WAKING
3965,"DEAL, LADE, LEAD, LEAP, PALE, PEAL, PLEA, PLED, APPLE, PALED, PEDAL, PLEAD, LAPPED, PADDLE, DAPPLED",DAPPLED
3966,"DIG, RED, RID, RIG, DEER, DIRE, EDGE, GIRD, GRID, REED, RIDE, DIRGE, GREED, RIDGE, EDGIER",EDGIER
3967,"ABED, ABET, BADE, BATE, BEAD, BEAT, BEET, DATE, DEBT, DEED, BATED, DATED, BEADED, DEBATE, DEBATED",DEBATED
3968,"CHIP, EPIC, HEIR, HIRE, PIER, PIPE, RICE, RICH, RIPE, CHIRP, PERCH, PIPER, PRICE, CIPHER, CHIPPER",CHIPPER
3969,"EEL, EKE, ELK, EYE, KEN, KEY, LEE, LYE, YEN, KEEL, KEEN, KNEE, LEEK, KNEEL, KEENLY",KEENLY
3970,"AGE, AWE, DEW, EGG, GAG, WAD, WAG, WED, AGED, AWED, GAGE, WADE, WAGE, WAGED, WAGGED",WAGGED
